quercus.sp	agrilus.sp	interaction	min.dist.mean	min.dist.mean.norm	min.dist.mean.log	min.dist.median	min.dist.median.norm	min.dist.median.log
Q. nigra	A. hastulifer	0	268.29774344881	0.99999944078724	0.513671207767865	227.830211353597	0.999968993727681	0.553823331969941
Q. nigra	A. hemiphanes	0	214.401238102151	0.999898309653418	0.48715247569558	139.803502743056	0.979939526165112	0.502833389335388
Q. nigra	A. laticornis	0	345.758006013666	0.999999999958682	0.543668576378512	270.324730886017	0.999999550482938	0.57168276692924
Q. nigra	A. niveoguttatus	0	16091.2670379621	1	0.997963267515243	16002.364617954	1	0.997969184380145
Q. nigra	A. obscuricollis	0	268.29774344881	0.99999944078724	0.513671207767865	227.830211353597	0.999968993727681	0.553823331969941
Q. nigra	A. obsoletoguttatus	0	5.32439535399361	0.00565379398540037	0.0520943730775747	2.00186194844884	0.000801169144611182	0.0642587892254953
Q. nigra	A. osburni	0	12.6296235431065	0.0313979941775625	0.153012058746791	5.07828184096692	0.00514451073521285	0.158453282336756
Q. nigra	A. parkeri	0	1040.73928644466	1	0.674012292833811	1076.94778737382	1	0.716057458607818
Q. nigra	A. quercicola	0	14.0383753174186	0.0386485233140738	0.165429523152781	3.85341078382509	0.00296534957362227	0.130257647225811
Q. nigra	A. relegatoides	0	10662.4950108141	1	0.949275649476206	10561.1117764528	1	0.954556575199564
Q. nigra	A. relegatus	0	4610.17600470268	1	0.85008183079672	4547.26068137791	1	0.866526663881887
Q. nigra	A. samai	0	11121.8104165593	1	0.954265217984461	11028.4425390815	1	0.959079945803161
Q. nigra	A. sulcicollis	0	345.758006013666	0.999999999958682	0.543668576378512	270.324730886017	0.999999550482938	0.57168276692924
Q. nigra	A. ussuricola	0	53.3876312029918	0.434501611484603	0.322841953618552	35.4587527771038	0.222339036776317	0.359735169935615
Q. pyrenaica	A. acutipennis	0	6133.08274541882	1	0.95328161398046	6227.10580223355	1	0.960925093739314
Q. pyrenaica	A. albocomus	0	9199.30726966912	1	0.998878944683442	9260.10567710846	1	0.99858384483152
Q. pyrenaica	A. angelicus	0	9291.46346066008	1	1	9399.31868952357	1	1
Q. pyrenaica	A. angustulus	0	1.17818031023428	0.000277583235327577	0	0.164115715861219	5.38677912974406e-06	0.00540184421732124
Q. pyrenaica	A. arcuatus	0	10.8660776272085	0.0233376921488212	0.241735076173834	5.39233751513817	0.00579858371522718	0.293416608883985
Q. pyrenaica	A. asiaticus	0	341.331168923026	0.999999999924084	0.62843794685032	323.532078650898	0.999999999190497	0.680279456629495
Q. pyrenaica	A. atricornis	0	916.455940977986	1	0.739497426645614	867.635789485124	1	0.773883813953547
Q. pyrenaica	A. auroguttatus	0	8839.43588005405	1	0.994390948305353	8942.8315953458	1	0.99527513878414
Q. pyrenaica	A. biguttatus	0	1.19708166375686	0.000286559835825228	0.00165096524278524	0.149502709343803	4.47020202875833e-06	0
Q. pyrenaica	A. bilineatus	0	10.8660776272085	0.0233376921488212	0.241735076173834	5.39233751513817	0.00579858371522718	0.293416608883985
Q. pyrenaica	A. chiricahuae	0	9276.33678978366	1	0.999816752962487	9330.70138417847	1	0.99930462580381
Q. pyrenaica	A. coxalis	0	8676.93807194055	1	0.99230420302002	8817.32976269855	1	0.993933822034118
Q. pyrenaica	A. crinicornis	0	16.1437778349537	0.0507891393208806	0.285924088769837	12.6722051506327	0.0316066846074958	0.373509835999894
Q. pyrenaica	A. cyaneoniger	0	9065.81575106953	1	0.99723497921482	8999.90468268202	1	0.995878899935628
Q. pyrenaica	A. defectus	0	5980.52542193169	1	0.950448696188685	6068.36904137686	1	0.958474478540356
Q. pyrenaica	A. geminatus	0	912.719876048853	1	0.739038048080259	866.924031900131	1	0.773805935266221
Q. pyrenaica	A. graminis	1	2.49367146992796	0.00124290643117025	0.0795864576961393	1.31500802320451	0.000345789421270713	0.164702665795354
Q. pyrenaica	A. grandiceps	0	5.6640379143961	0.00639572482432745	0.169399266876733	3.60243956376852	0.00259214872754541	0.255989100895294
Q. pyrenaica	A. hastulifer	0	1.73545193969704	0.000602177305426348	0.0406968870673062	0.360053249479439	2.59273323729056e-05	0.0580706605089115
Q. pyrenaica	A. hemiphanes	0	8.65039854272812	0.0148544468087458	0.2163502343812	6.57216354789547	0.00860146067255575	0.311884482651077
Q. pyrenaica	A. laticornis	0	1.85014308210582	0.00068437159571234	0.0475137929813008	0.445050030428941	3.96131212963609e-05	0.0741606630553568
Q. pyrenaica	A. niveoguttatus	0	7567.01572249193	1	0.97691091580373	7439.69380038222	1	0.977810418378585
Q. pyrenaica	A. obscuricollis	0	1.96287446590288	0.00077027841692803	0.0538342240347775	0.418323270366343	3.49982592524907e-05	0.0693889108002357
Q. pyrenaica	A. obsoletoguttatus	0	6.05423032401382	0.00730393662026477	0.176766078087968	3.72122055296162	0.002765664963319	0.258986052332045
Q. pyrenaica	A. osburni	0	918.508470404737	1	0.7397490049795	868.47376497869	1	0.773975421245702
Q. pyrenaica	A. parkeri	0	9070.63752394478	1	0.997294780187926	9135.91807064375	1	0.997302452796026
Q. pyrenaica	A. quercicola	0	10.8660776272085	0.0233376921488212	0.241735076173834	5.39233751513817	0.00579858371522718	0.293416608883985
Q. pyrenaica	A. relegatoides	0	2802.04030379175	1	0.865182087507436	2710.09384011323	1	0.881971677298709
Q. pyrenaica	A. relegatus	0	5.66266622531179	0.00639263734995714	0.169372499292353	3.60216529559729	0.00259175455312169	0.255982070182253
Q. pyrenaica	A. samai	0	3160.19449573434	1	0.878709919442329	3076.22460934932	1	0.893997791021645
Q. pyrenaica	A. sulcicollis	0	4.73197154385001	0.00446829825614209	0.149561761553573	1.99433716498201	0.00079515983825391	0.201915677100828
Q. pyrenaica	A. ussuricola	0	341.331168923026	0.999999999924084	0.62843794685032	323.532078650898	0.999999999190497	0.680279456629495
Q. garryana	A. acutipennis	0	1707.2126080308	1	0.638465348222509	1673.35059047044	1	0.681351642696793
Q. garryana	A. albocomus	0	851.944475250606	1	0.535455295645149	809.024443069994	1	0.58721364609548
Q. garryana	A. angelicus	0	105.168458442052	0.890527393526568	0.225533881099516	120.22070746937	0.944457328671906	0.340330692130198
